,0
213,아스트라제네카 관련주 호재냐??
214,너네 그거 아냐? 주식 정보는 국회의원 권력가들에게 먼저 간다.
215,재무제표 완벽하고 아주 안정성 있는 기업이여도
216,호재로 급등했는데 조정 들어가는건
217,근데 주식거래할 때마다 세금 얼마나 떼는거냐?
218,포모 주포 걸레년 졷밥인데
219,그러네 엔씨가 진심 기회많앗음 
220,장투주 몇개 넣어둠?
221,알려주세요
222,현건기 그래픈데 우째이래확오른거?
223,주갤에서 지랄나는건뭐다?
224,남들 몇천몇억씩 수익 낼때 난 고작 몇만원이지만
225,담주 포모 주가 존나 기대됌
226,삼전보다 안정적으로 꾸준하게 성장한 회사
227,전자랑 중공업이랑 공기업이랑
228,블서란 게임이 만단위로 책정될만한 겜은 아니다싶긴함
229,본인 종목 어떰
230,3단계 함 오면 국장에다 써야겠다
231,지주회사 저평가인 이유.txt
232,스튜디오 드래곤 신규 드라마 추천합니다
233,블서 누적 이용자수 얼마나 될까?
234,Sk 지분 구조 조정하면서
235,와 주식 콜라 탄산 이론 개 지리네 시발
236,내꿈이 테슬라에 1억박고
237,지주회사들는 왜 다 저평가냐
238,넵튠 지금 ㄹㅇ 웃고있는거임?
239,첫눈온다
240,안녕하세요 주린이 인데요 질문이 있어서
241,타인종 문화 따라하는거 왤케 미개해보이냐???
242,나왜 일별계좌수익률현황 암것도 안뜸?
243,걍 월요일날 셀케가 17층 정문을 폭파시키는 망상중 ㅋ.ㅋ
244,주식잘하는사람 뭐좀물어보자
245,셀트리온에 대해 한마디 하자면
246,나도 주린인데 대기업 중소기업 이지랄하는 애들보면
247,주식으로 1억만드는법
248,주식으로 1억만드는법
249,지금 셀트는 저평가냐 고평가냐
250,고민 되는 종목들
251,월요일 테마주 )
252,님들은 테슬라 고평가라고봄 저평가라고봄?
253,월요일에 왜 주가 떨어짐?
254,기관이 개병신이라는 증거
255,월요일에 장시작되면
256,삼전이 무슨 테슬라급이야 븅신새끼야 ㅋㅋㅋ
257,대기업주만 사도 손해는 안봄?
258,형들 주식 시작하려는데 증권사 어디로 해야해
259,난 주식으로 돈을 번다는게 해당주식을 적정가로 평가해준 것에 대한
260,너네 이거 먹어봤니?
261,주식은 거래량이 중요하다? ㄴㄴ
262,혹시 여기 똑똑한놈있냐?
263,생각해버니 상한가 먹어봐야 30퍼인데
264,셀트 승인난거에 대해 궁금한점
265,종목추천은 받지마라
266,주식 나만 6시간동안보냐
267,잘버텨야 돈을번다
268,주식 진짜 사람 미치게한다
269,시드50으로 500가능?
270,주식은 거래량이 중요하지
271,시드 1천부터는 주린이 아니냐??
272,지금이라도 삼전사라
273,블서 스킨내면 영업이익 얼마나 나올려나
274,네오위즈 물어본 사람 잘들어라
275,코스피200에만 투자해도 거의 안 잃음
276,내가보기에 삼전도 믿을게못됨
277,"한진칼 진지하게 어떻냐?? 1,2월 바라보고"
278,근데 몰빵 하지 않는 이상 막 절반 날리고 그러기가 가능한가
279,백신 수송하는것도 주식에 영향주냐?
280,형냐들 셀케 올라?
281,네오위즈 어떰?
282,화이지 지금 탑승하면 병신이냐?
283,월욜 장열리면 올인
284,아 월요일 딱기다려 ㅋㅋ
285,요즘 주린이들의 위험한 마인드가 뭐냐면
286,토토로 먹기  상한가먹기
